,,,,,,,,,,,,,,,,,
all,,,,,,,Hard-boiled eggs with Akabanga,Goat Brochettes,Mandazi (African Donuts),Rwandan Chicken,Matoke,,Ginger Tea,Rwandan Beef,Potato stew with pintos,Rēwena Bread,Rwandan Sweet Potato Fries (Chips)
breakfast,Mandazi (African Donuts),,Rēwena Bread,,,,,,,,,,,,,,
lunch,Matoke,Hard-boiled eggs with Akabanga,,Vegan agatogo,Potato stew with pintos,,,,,,,,,,,,
dinner,,,Goat Brochettes,Rwandan Chicken,Rwandan Beef,,,,,,,,,,,,
snack,,,Ginger Tea,Rwandan Sweet Potato Fries (Chips),,,,,,,,,,,,,
